# ----------------------------------------
# iRozhlas
# Queries
# 20190603-20190609
# ----------------------------------------

Search Query,Clicks,Impressions,CTR,Average Position
infiltrace,"2,948","16,611",17.75%,1.6
demonstrace praha,"1,465","7,221",20.29%,1.9
zprávy,935,"12,122",7.71%,2.2
rodičovský příspěvek,885,"2,456",36.03%,1.8
infiltrace obchod se zdravím,632,"4,214",15.00%,2.3
aktip,552,"2,543",21.71%,2.7
rozhlas,547,"3,212",17.03%,3.9
infiltrace obchod se svědomím,442,"5,214",8.48%,3.4
černobyl,328,"11,481",2.86%,6.4
i rozhlas,328,372,88.17%,1.0
obchod se svědomím,306,"5,560",5.50%,4.4
rodičovský příspěvek 2020,306,"1,037",29.51%,3.2
zmena otcenasu,282,631,44.69%,1.9
petr částka,247,569,43.41%,1.3
pardubická nemocnice,245,906,27.04%,2.3
ano vytrollíme europarlament,243,"2,420",10.04%,4.0
boris ščerbina,231,"2,821",8.19%,6.2
vasilij ignatenko,225,"1,201",18.73%,3.2
desetikoruna z roku 1993,223,593,37.61%,1.5
cernobyl,212,"7,826",2.71%,7.7
infiltrace adam,207,559,37.03%,1.6
rocketman,186,"4,475",4.16%,3.2
vzácné mince,181,485,37.32%,1.0
www.irozhlas,172,182,94.51%,1.0
infiltrace obchod se svedomim,170,"1,923",8.84%,4.3
adam operace mandli,161,396,40.66%,1.7
ananenko bezpalov baranov,155,420,36.90%,4.0
drábová černobyl,150,462,32.47%,3.5
izurnal,147,177,83.05%,1.0
zmena otcenase,144,185,77.84%,1.3
adam pardubická nemocnice,143,529,27.03%,1.1
ščerbina,141,"1,506",9.36%,5.1
michelinská hvězda,140,551,25.41%,1.8
alexej ananenko,137,778,17.61%,4.7
adam vyčítal,135,"1,281",10.54%,5.4
eurovolby 2019,135,612,22.06%,1.8
průměrná mzda 2019,135,631,21.39%,2.4
10 kč 1993,133,236,56.36%,1.3
drabova cernobyl,131,754,17.37%,5.9
perseidy 2019,128,224,57.14%,1.9
seriál černobyl,128,"3,413",3.75%,8.7
černobyl online,123,"16,045",0.77%,8.8
valerij legasov,123,"5,737",2.14%,9.1
nemocnice pardubice,121,"1,167",10.37%,2.8
čt infiltrace obchod se svědomím,120,"2,717",4.42%,2.5
šimering,119,"1,407",8.46%,2.9
budapest lod,118,386,30.57%,1.8
zprávy z domova,118,"1,137",10.38%,4.1
požár holešovice,116,254,45.67%,1.3
ludmila ignatenko,110,628,17.52%,3.5
babiš,109,"1,850",5.89%,8.4
roland garros,109,"6,661",1.64%,4.7
průměrná mzda,108,"1,018",10.61%,3.7
zvýšení rodičovského příspěvku,108,299,36.12%,2.5
černobyl potápěči,107,176,60.80%,2.1
infiltrace čt,107,872,12.27%,1.8
obchod se svedomim,105,"1,519",6.91%,4.6
výsledky voleb do evropského parlamentu 2019,102,348,29.31%,2.5
chomjuková černobyl,100,701,14.27%,4.3
fireflies,99,535,18.50%,2.7
praha demonstrace,99,352,28.12%,1.8
dana drábová černobyl,97,447,21.70%,4.6
demonstrace,97,"1,768",5.49%,5.8
desetikoruna,97,382,25.39%,1.9
otcenas zmena,96,522,18.39%,4.4
vigantol,96,"1,540",6.23%,7.0
zmena modlitby otčenáš,96,"12,562",0.76%,6.8
rodicovsky prispevek,95,233,40.77%,2.1
papež otčenáš,94,973,9.66%,2.2
václavské náměstí demonstrace,94,"3,384",2.78%,4.4
avicii tim,93,261,35.63%,1.8
otčenáš změna,93,152,61.18%,1.6
benešová,92,"1,440",6.39%,2.5
marie benešová,91,"1,935",4.70%,3.0
vinohradská 12,90,137,65.69%,2.0
adamek mandle,89,"1,013",8.79%,6.4
ano vytrollíme europarlament pokuty,89,157,56.69%,2.5
pozar holesovice,89,187,47.59%,1.6
změna otčenáše,89,139,64.03%,1.4
desetikoruna 2000,87,201,43.28%,1.8
krvacejici chlapec pardubice,86,177,48.59%,2.0
volby do europarlamentu,85,"1,198",7.10%,5.7
baranov cernobyl,83,227,36.56%,2.9
marie benešová kauza,83,279,29.75%,1.7
volební průzkum,83,202,41.09%,1.2
madeta babiš,82,404,20.30%,1.3
potapeci cernobyl,82,144,56.94%,2.3
scerbina černobyl,82,791,10.37%,6.4
pasáž jalta brno,81,357,22.69%,1.5
infiltrace dokument,79,881,8.97%,3.1
požár v holešovicích,79,191,41.36%,1.4
volby do evropského parlamentu 2019,79,551,14.34%,5.3
mandlovice,78,"1,700",4.59%,3.7
navýšení rodičovského příspěvku,77,209,36.84%,2.3
lex babiš,74,566,13.07%,1.7
pardubicka nemocnice adam,74,134,55.22%,1.3
vondrousova konta,74,446,16.59%,2.7
mikuláš minář,72,"6,126",1.18%,8.7
papež františek,72,780,9.23%,5.1
adam mandle,71,269,26.39%,3.3
,"61,459","1,626,746",3.78%,6.1

Week Index,Clicks
0000,"55,227"
0001,"6,232"
,"61,459"
