# ----------------------------------------
# iRozhlas
# Queries
# 20191007-20191013
# ----------------------------------------

Search Query,Clicks,Impressions,CTR,Average Position
velká pardubická,749,"26,131",2.87%,6.9
david rath vězení,559,"6,431",8.69%,2.1
hondrostrong,523,"1,090",47.98%,3.5
rozhlas,512,"3,296",15.53%,2.6
maraton rekord,469,898,52.23%,1.8
david rath,450,"7,434",6.05%,5.0
pohřeb gotta,415,"2,250",18.44%,4.3
rath,372,"3,008",12.37%,3.3
tajfun japonsko,363,"2,829",12.83%,3.9
vinohradská 12,337,463,72.79%,1.4
pohreb gotta,323,"1,700",19.00%,4.8
brexit,315,"2,524",12.48%,4.6
japonsko tajfun,279,"1,819",15.34%,3.4
i rozhlas,273,315,86.67%,1.0
robert foster,272,"13,220",2.06%,3.2
karel gott pohreb,242,"2,227",10.87%,8.5
josef váňa,232,"4,795",4.84%,2.2
signal festival,231,"17,190",1.34%,5.3
turecko sýrie,230,"4,602",5.00%,5.5
velká pardubická 2019,224,"7,705",2.91%,4.7
rozdeleni svobodou,215,301,71.43%,1.1
stardance,214,"10,438",2.05%,6.6
univerzita karlova home credit,213,774,27.52%,2.9
pohreb karla gotta,212,"1,796",11.80%,8.1
hondrostrong recenze,205,396,51.77%,2.5
ginger baker,188,"1,095",17.17%,2.7
home credit univerzita karlova,185,"1,016",18.21%,2.3
rozděleni svobodou,181,260,69.62%,1.0
minuta ticha za gotta,173,511,33.86%,3.9
primark praha,173,"1,674",10.33%,5.4
sokol,159,"1,447",10.99%,3.6
zprávy z domova,158,937,16.86%,2.7
turecko,152,"1,750",8.69%,3.9
maraton,148,"1,983",7.46%,3.1
rekord maraton,148,274,54.01%,1.9
izurnal,131,160,81.88%,1.0
zprávy,131,"1,373",9.54%,12
www.irozhlas,129,136,94.85%,1.0
karel gott žofín,127,"1,204",10.55%,5.3
žloutenka turnov,124,546,22.71%,1.6
velka pardubicka,123,"4,734",2.60%,7.3
světový rekord maraton,121,285,42.46%,1.6
žofín karel gott,121,"1,380",8.77%,5.1
pardubická nemocnice,117,"1,068",10.96%,6.4
doprava praha,115,"1,808",6.36%,3.2
tajfun hagibis,115,"1,015",11.33%,5.8
vinohradska 12,115,149,77.18%,1.5
žofín,107,"3,635",2.94%,3.4
vigantol,106,"2,130",4.98%,6.3
nemocnice pardubice,102,"1,086",9.39%,4.6
sýrie,101,"3,301",3.06%,5.4
turecko syrie,100,801,12.48%,5.0
richard galovič,98,"2,595",3.78%,1.2
extinction rebellion,97,"1,319",7.35%,3.1
karlova univerzita home credit,94,294,31.97%,2.4
velká pardubická 2019 koně,94,681,13.80%,4.1
halík gott,91,847,10.74%,6.6
nobelova cena za mír 2019,90,394,22.84%,3.9
zprávy ze světa,89,"1,945",4.58%,6.0
bioparox,86,374,22.99%,5.2
lenora výbuch,84,358,23.46%,2.2
vzácné mince,84,243,34.57%,1.0
nejvyšší budova světa,82,470,17.45%,1.1
syrie,82,"1,861",4.41%,6.3
vlasta chramostová,82,"6,017",1.36%,11
tzigane du berlais,81,618,13.11%,2.2
thalie 2019,79,512,15.43%,2.8
turecko kurdové konflikt,79,498,15.86%,1.7
karel gott pohřeb,78,668,11.68%,5.9
polsko volby,76,389,19.54%,3.5
turecko kurdove,76,212,35.85%,1.7
volby polsko,76,408,18.63%,3.3
zofin gott,76,352,21.59%,2.9
hana juptnerova,75,476,15.76%,3.2
kauza okd,75,213,35.21%,1.2
rozdělení svobodou,75,95,78.95%,1.0
zbrojovka brno,75,820,9.15%,3.2
brexit datum,74,223,33.18%,1.5
home credit karlova univerzita,74,342,21.64%,2.8
hong kong protesty,74,821,9.01%,5.2
kurdové,74,"2,963",2.50%,6.2
theophilos kůň,74,796,9.30%,1.8
pohádka s karlem gottem,73,233,31.33%,1.3
pohreb karel gott,73,543,13.44%,6.3
uzavírky praha,73,218,33.49%,4.6
zloutenka turnov,73,308,23.70%,1.9
desetikoruna 1993,72,226,31.86%,1.9
nejoblíbenější jména,72,184,39.13%,1.2
csfd,70,"118,090",0.06%,4.0
zloutenka liberec,70,167,41.92%,1.1
home credit,69,"2,268",3.04%,9.6
filip pešán,68,153,44.44%,1.0
josef váňa velká pardubická,68,719,9.46%,2.2
žloutenka liberec,68,119,57.14%,1.1
rath vezeni,67,470,14.26%,3.5
tajfun japonsko 2019,67,475,14.11%,5.4
žofín praha,67,"1,668",4.02%,4.1
státní smutek,66,"4,532",1.46%,8.2
babiš erdogan,65,191,34.03%,4.0
extinction rebellion praha,65,457,14.22%,3.5
,"59,010","1,479,504",3.99%,6.4

Week Index,Clicks
0000,"49,004"
0001,"10,006"
,"59,010"
