# ----------------------------------------
# iRozhlas
# Queries
# 20191118-20191124
# ----------------------------------------

Search Query,Clicks,Impressions,CTR,Average Position
ježíškova vnoučata 2020,752,"1,119",67.20%,1.0
vevio,617,"11,269",5.48%,5.9
rozhlas,500,"3,338",14.98%,2.8
hong kong protesty,492,"3,393",14.50%,6.0
kandidáti na prezidenta,440,855,51.46%,1.6
petra procházková sputnik,430,"2,498",17.21%,1.0
anna kellnerová nehoda,416,977,42.58%,1.0
vinohradská 12,370,473,78.22%,1.0
vlastníci recenze,365,"1,105",33.03%,1.5
ježíškova vnoučata 2019,363,"2,321",15.64%,2.8
petra procházková novinářka,347,"2,333",14.87%,1.2
petra procházková,346,"1,308",26.45%,2.1
ježíškova vnoučata,305,"18,184",1.68%,6.3
hamr na jezeře,302,"1,987",15.20%,2.4
milion chvilek,298,"31,898",0.93%,6.0
vlastníci,298,"11,484",2.59%,5.5
kandidáti na prezidenta 2023,288,505,57.03%,1.4
depeche mode film,284,"1,161",24.46%,2.7
i rozhlas,271,306,88.56%,1.0
petra procházková nový deník,271,509,53.24%,1.2
hong kong demonstrace,270,744,36.29%,1.7
petra prochazkova,270,618,43.69%,2.0
jake burton,252,"5,601",4.50%,4.5
primark praha,240,"1,576",15.23%,4.2
vevio.cz recenze,229,"1,503",15.24%,6.2
hongkong protesty,206,994,20.72%,4.0
hana lipovská,197,"2,001",9.85%,3.7
vigantol,197,"1,745",11.29%,4.6
csfd,175,"129,262",0.14%,2.6
václav nedomanský,172,"4,605",3.74%,2.6
sametová revoluce,161,"11,540",1.40%,7.1
le mans 66,160,"13,959",1.15%,7.1
volební preference,157,550,28.55%,2.7
vybuch v hamru,157,401,39.15%,1.1
desetikoruna 1993,151,427,35.36%,1.8
vzácné mince,151,457,33.04%,1.0
prochazkova sputnik,145,279,51.97%,2.2
princ andrew,142,"4,418",3.21%,7.5
procházková,140,438,31.96%,1.8
hong kong protesty duvod,138,206,66.99%,1.0
hamr na jezeře výbuch,132,425,31.06%,1.3
prochazkova facka,131,356,36.80%,1.4
vinohradska 12,131,170,77.06%,1.1
zprávy z domova,130,825,15.76%,3.7
jak si nepodělat život,129,"4,293",3.00%,5.2
hongkong,128,"1,695",7.55%,4.7
petra prochazkova sputnik,128,213,60.09%,1.3
marek šnajdr,126,"1,668",7.55%,2.9
nedomanský,125,"2,050",6.10%,2.2
výbuch v hamru,123,366,33.61%,1.2
kandidati na prezidenta,122,273,44.69%,1.6
novaja gazeta,122,"1,286",9.49%,2.3
izurnal,119,143,83.22%,1.0
olympijská kolekce 2020,116,496,23.39%,1.6
protopopová,115,585,19.66%,2.1
bioparox,114,422,27.01%,5.1
volební průzkum,113,334,33.83%,2.6
brexit,112,"1,292",8.67%,1.9
marcel puvák,111,591,18.78%,6.7
zprávy,111,995,11.16%,17
dita protopopová,110,955,11.52%,1.4
petra procházková facka,104,248,41.94%,1.2
hamr výbuch,103,"1,915",5.38%,1.9
petra prochazkova facka,101,223,45.29%,1.1
hong kong volby,96,357,26.89%,2.3
vybuch hamr na jezere,96,324,29.63%,1.3
10 kč 1993,89,198,44.95%,1.6
www.irozhlas,88,94,93.62%,1.0
černý kašel,87,"1,864",4.67%,8.7
královna alžběta,87,"1,539",5.65%,2.2
procházková facka,87,286,30.42%,1.6
dan přibáň,86,578,14.88%,3.4
protesty v hongkongu proč,86,140,61.43%,1.0
adam kotalík,84,735,11.43%,1.8
rick dalton,83,681,12.19%,5.1
desetikoruna 2000,82,210,39.05%,1.0
procházková sputnik,81,165,49.09%,1.8
protesty v hong kongu,81,629,12.88%,4.8
17 listopad,78,"3,562",2.19%,5.3
desetikoruna,78,337,23.15%,1.6
sputnik,78,"4,558",1.71%,3.2
vzácné desetikoruny,78,132,59.09%,1.0
volební preference listopad 2019,77,376,20.48%,4.8
babiš,75,"1,930",3.89%,7.2
národní muzeum,75,"5,459",1.37%,9.2
mikuláš minář,74,"3,619",2.04%,4.9
výbuch hamr,74,400,18.50%,1.2
www.irozhlas cz,74,76,97.37%,1.0
demonstrace letná 16.11,73,922,7.92%,3.2
podvodné telefonáty,71,95,74.74%,1.4
zeman,71,"2,587",2.74%,8.2
aktip,69,324,21.30%,4.2
demonstrace hong kong,67,194,34.54%,1.7
hong kong univerzita,65,113,57.52%,1.4
marek výborný,65,"4,135",1.57%,6.7
šibík výstava,65,146,44.52%,1.9
benátky,64,"1,237",5.17%,2.2
bitcoin revolution,64,215,29.77%,4.4
dalik propusteni,64,236,27.12%,3.1
volby hong kong,63,199,31.66%,2.2
,"58,582","1,574,557",3.72%,6.4

Week Index,Clicks
0000,"49,725"
0001,"8,857"
,"58,582"
