# ----------------------------------------
# iRozhlas
# Queries
# 20191014-20191020
# ----------------------------------------

Search Query,Clicks,Impressions,CTR,Average Position
hevrin khalaf,"2,073","7,172",28.90%,2.6
brexit,620,"7,272",8.53%,5.6
princip slasti,556,"10,934",5.09%,4.4
rozhlas,500,"3,208",15.59%,3.2
karel gott,498,"18,189",2.74%,3.7
hevrin chalaf,479,"2,462",19.46%,2.2
dobroslav trnka,415,"1,929",21.51%,2.4
hevrin chalafová,410,"2,663",15.40%,4.5
kurdska politicka,374,"1,396",26.79%,2.0
vinohradská 12,333,454,73.35%,1.1
hevrin khalef,291,"1,267",22.97%,3.8
i rozhlas,284,318,89.31%,1.0
hondrostrong,243,531,45.76%,3.8
turecko sýrie,227,"3,329",6.82%,5.4
kurdská politička,220,739,29.77%,1.9
maraton rekord,213,401,53.12%,1.9
vlasta chramostová,211,"15,813",1.33%,8.1
sýrie,207,"3,504",5.91%,5.2
stávka učitelů,206,694,29.68%,2.5
syrie,203,"2,088",9.72%,4.4
hevrin chalafov,200,681,29.37%,2.0
gorila slovensko,193,958,20.15%,2.9
primark praha,189,"1,900",9.95%,6.5
kočner,180,"1,676",10.74%,4.0
rozdeleni svobodou,177,238,74.37%,1.1
rozděleni svobodou,157,208,75.48%,1.0
hevrin chalafova,149,531,28.06%,2.1
kocner trnka,148,446,33.18%,3.4
kauza gorila,141,"1,425",9.89%,4.2
zprávy ze světa,140,"2,374",5.90%,5.5
nehoda d1,139,"3,036",4.58%,6.5
kurdska politicka video,137,342,40.06%,1.2
vinohradska 12,135,171,78.95%,1.1
piotr jaroszewicz,130,252,51.59%,3.2
hevrin khalaf video,128,624,20.51%,6.4
hondrostrong recenze,127,202,62.87%,1.4
rekord maraton,125,214,58.41%,1.8
www.irozhlas,122,133,91.73%,1.0
zprávy,114,"1,370",8.32%,12
izurnal,113,138,81.88%,1.0
kočner trnka,112,252,44.44%,3.1
turecko nato,107,600,17.83%,2.8
vigantol,105,"2,182",4.81%,6.5
zprávy z domova,105,816,12.87%,3.5
kurdové,103,"2,582",3.99%,6.2
metro a,103,213,48.36%,1.7
bioparox,101,370,27.30%,4.3
nahravka gorila,99,"1,445",6.85%,7.8
ukamenovana kurdska politicka,99,429,23.08%,1.5
premier soukup,94,338,27.81%,1.1
csfd,93,"117,831",0.08%,3.4
gott,92,"1,993",4.62%,7.3
chalafova,87,376,23.14%,3.2
chalafová,87,349,24.93%,3.9
sýrie turecko,87,613,14.19%,3.7
princip slasti recenze,86,491,17.52%,2.6
uzavírka d4,85,259,32.82%,1.7
kocner,83,"1,393",5.96%,4.7
turecko,83,903,9.19%,5.3
vzácné mince,83,276,30.07%,1.0
d1 nehoda,82,"1,284",6.39%,6.2
hevrin chalafové,81,291,27.84%,2.5
kurdové turecko,78,720,10.83%,3.8
trnka,78,814,9.58%,5.5
nejoblíbenější jména,77,220,35.00%,1.2
move&flex,75,185,40.54%,3.9
d1,72,"1,278",5.63%,5.7
gorila nahravka,72,"1,272",5.66%,7.8
smrt boxera,71,115,61.74%,1.8
politický kompas,70,126,55.56%,1.8
nejvyšší budova světa,69,446,15.47%,1.2
petr čech hokej,69,919,7.51%,4.1
cisterna na d1,68,607,11.20%,3.9
nehoda cisterny na d1,67,641,10.45%,5.4
platy učitelů 2020,67,494,13.56%,5.9
barcelona,66,819,8.06%,2.4
marián kočner,66,"1,054",6.26%,3.0
hong kong protesty,65,537,12.10%,3.4
nahravka kocner trnka,65,268,24.25%,7.2
leopold karpeles,64,331,19.34%,3.4
jordie lunn,63,366,17.21%,3.5
10 kč 1993,62,180,34.44%,1.7
most řitka,62,171,36.26%,1.1
polsko volby,62,449,13.81%,3.8
český rozhlas,61,"8,652",0.71%,4.5
chramostová,61,"2,825",2.16%,10
ekvádor,61,492,12.40%,3.5
krize 2019,61,270,22.59%,3.2
jaroslav haščák,60,"1,669",3.59%,4.5
palermo,60,357,16.81%,2.4
volby polsko 2019,60,465,12.90%,3.0
nejčastější jména,59,302,19.54%,2.7
cisterna d1,58,421,13.78%,4.2
hevrin khalef video,57,263,21.67%,2.9
nato turecko,57,225,25.33%,3.0
d4 doprava,56,104,53.85%,1.8
dálnice d1,56,"1,003",5.58%,6.2
dan přibáň,56,404,13.86%,4.2
haščák,56,"1,136",4.93%,3.2
nehoda na d1 13.10,56,154,36.36%,1.1
,"55,872","1,355,473",4.12%,6.3

Week Index,Clicks
0000,"49,065"
0001,"6,807"
,"55,872"
